question_number,question,category,,,,,,,,
46,Are guys allowed to wear earrings on campus?,paraphrased,,,,,,,,
47,"My job requires me to have long hair, but the handbook says I need a barber's cut. What can I do?",scenario,,,,,,,,
48,Is cheating on an exam a major or minor offense?,direct,,,,,,,,
49,What's the penalty for getting caught copying on a quiz?,paraphrased,,,,,,,,
50,This is confusing. Is 'cheating' a major offense or a minor offense?,adversarial,,,,,,,,
51,Am I allowed to bring or drink alcohol on campus?,direct,,,,,,,,
52,Is it okay if I join a student org that isn't officially recognized by the school?,paraphrased,,,,,,,,
53,What is the school's policy on smoking or vaping?,direct,,,,,,,,
54,I recorded my professor's Zoom class and posted it on social media. Am I in trouble?,scenario,,,,,,,,
55,How much is the fine if I get caught littering?,unanswerable,,,,,,,,
56,My org has an 'initiation'. Is that considered 'hazing' and a major offense?,adversarial,,,,,,,,
57,What's the most severe penalty the school can give a student?,direct,,,,,,,,
58,What's the difference between being 'dismissed' and 'expelled'?,paraphrased,,,,,,,,
59,Does EARIST have a guidance counselor I can talk to?,direct,,,,,,,,
60,I'm graduating soon. Does the school have programs to help me find a job?,paraphrased,,,,,,,,
61,What services does the school clinic offer?,direct,,,,,,,,
62,What time does the school clinic open and close?,unanswerable,,,,,,,,
63,I left my laptop in a classroom. Is the school security office responsible for helping me find it?,scenario,,,,,,,,
64,What benefits do student-athletes get?,direct,,,,,,,,
65,"I'm on the varsity team, so my grades don't matter as much, right?",adversarial,,,,,,,,
66,"Is there a gym that any student can use for working out, even if not an athlete?",unanswerable,,,,,,,,
67,What kind of support does EARIST offer for students with disabilities?,paraphrased,,,,,,,,
68,How long does a student org's accreditation last?,direct,,,,,,,,
69,My friends and I want to start a new org. What's the process?,paraphrased,,,,,,,,
70,How much can my college-based org charge for a membership fee?,direct,,,,,,,,
71,My student org wants to hold an event off-campus. What special requirements are there?,scenario,,,,,,,,
72,Our faculty adviser is busy and can't come to our off-campus teambuilding. Can we just go by ourselves?,adversarial,,,,,,,,
73,How much is the budget for the Institute Student Government (ISG)?,unanswerable,,,,,,,,
74,My org has a bank account. Who are the required signatories to withdraw money?,scenario,,,,,,,,
75,What are the requirements to be a faculty adviser for a student organization?,direct,,,,,,,,
76,Where does the student publication get its funding?,direct,,,,,,,,
77,I made a poster for my org. Can I just post it anywhere on campus?,scenario,,,,,,,,
78,Can the school administration censor our student paper if we write an article criticizing them?,adversarial,,,,,,,,
79,How much is the student publication fee that's collected during enrollment?,unanswerable,,,,,,,,
80,What college is BS Criminology under?,direct,,,,,,,,
81,Does EARIST have an MBA program?,paraphrased,,,,,,,,
82,What was the school's name before it became EARIST?,direct,,,,,,,,
83,Can I take Aerospace Engineering at EARIST?,unanswerable,,,,,,,,
84,Who is the president of EARIST?,paraphrased,,,,,,,,
85,I want to apply for BS Information Technology. Which college handles that?,scenario,,,,,,,,
86,Are the courses offered in EARIST Cavite the same as the ones in Manila?,adversarial,,,,,,,,
87,What's the email address for the Dean of the College of Engineering?,unanswerable,,,,,,,,
88,Who is the dean of CAS?,direct,,,,,,,,
89,Does the school have a swimming pool?,unanswerable,,,,,,,,
90,What are the library's opening and closing hours?,unanswerable,,,,,,,,
91,What is the official vision statement of EARIST?,direct,,,,,,,,
92,What is EARIST's mission?,paraphrased,,,,,,,,
93,I'm currently enrolled in the Cavite campus. Is it possible to transfer to the Manila campus?,scenario,,,,,,,,
94,I'm taking my OJT this semester. Can I also enroll in a major subject I failed before?,adversarial,,,,,,,,
95,Is there free Wi-Fi for students on campus?,unanswerable,,,,,,,,
96,I want to run for ISG President. My GWA is 2.75 and I have no failing grades. Am I eligible?,scenario,,,,,,,,
97,"I want to run for student council. My GWA is excellent (2.0), but I did fail one class last year. Can I still run?",adversarial,,,,,,,,
98,Can students bring a car to school? Is there a parking lot for students?,unanswerable,,,,,,,,
99,Does EARIST have a study abroad program?,direct,,,,,,,,
100,My organization wants to sell t-shirts with the EARIST logo on them. Do we need to get permission?,scenario,,,,,,,,
